lokacija;tip
1;Poletni cas
1;Zimski cas
1;Slabo vreme
2;Poletni cas
2;Zimski cas
2;Slabo vreme
3;Poletni cas
3;Zimski cas
3;Slabo vreme
4;Poletni cas
5;Poletni cas
5;Zimski cas
5;Slabo vreme
6;Poletni cas
7;Poletni cas
7;Zimski cas
8;Poletni cas
9;Poletni cas
9;Zimski cas
9;Slabo vreme
10;Poletni cas
11;Poletni cas
12;Poletni cas
13;Poletni cas
13;Zimski cas
14;Poletni cas
14;Zimski cas
15;Poletni cas
15;Zimski cas
15;Slabo vreme
16;Poletni cas
16;Zimski cas
16;Slabo vreme
17;Poletni cas
17;Zimski cas
18;Poletni cas
18;Zimski cas
19;Poletni cas
20;Poletni cas
20;Zimski cas
20;Slabo vreme
21;Slabo vreme
21;Poletni cas
21;Zimski cas
22;Slabo vreme
22;Zimski cas
22;Poletni cas
23;Poletni cas
23;Zimski cas
24;Poletni cas
25;Poletni cas
25;Zimski cas
25;Slabo vreme
26;Poletni cas
26;Zimski cas
26;Slabo vreme
27;Poletni cas
28;Poletni cas
29;Poletni cas
29;Zimski cas
29;Slabo vreme
30;Poletni cas
31;Poletni cas
31;Slabo vreme
31;Zimski cas
32;Poletni cas
32;Zimski cas
32;Slabo vreme
33;Poletni cas
34;Poletni cas
34;Zimski cas
35;Poletni cas
36;Poletni cas
37;Poletni cas
37;Zimski cas
37;Slabo vreme
38;Poletni cas
39;Poletni cas
39;Zimski cas
39;Slabo vreme
40;Poletni cas
40;Zimski cas
40;Slabo vreme
41;Poletni cas
42;Poletni cas
43;Poletni cas
43;Zimski cas
44;Poletni cas
45;Poletni cas
46;Poletni cas
46;Zimski cas
47;Poletni cas
47;Zimski cas
47;Slabo vreme
48;Poletni cas
48;Zimski cas
48;Slabo vreme
49;Poletni cas
50;Poletni cas
50;Zimski cas
51;Poletni cas
52;Poletni cas
52;Zimski cas
53;Poletni cas
53;Zimski cas
53;Slabo vreme
54;Poletni cas
54;Zimski cas
55;Poletni cas
55;Zimski cas
56;Poletni cas
56;Zimski cas
57;Poletni cas
57;Zimski cas
61;Poletni cas
61;Zimski cas
60;Poletni cas
60;Zimski cas
59;Poletni cas
59;Zimski cas
62;Poletni cas
62;Zimski cas
63;Poletni cas
64;Poletni cas
64;Zimski cas
64;Slabo vreme
65;Poletni cas
66;Poletni cas
67;Poletni cas
68;Poletni cas
68;Zimski cas
68;Slabo vreme
69;Poletni cas
69;Zimski cas
70;Poletni cas
70;Zimski cas
70;Slabo vreme
71;Poletni cas
71;Zimski cas
71;Slabo vreme
72;Zimski cas
72;Slabo vreme
73;Zimski cas
73;Poletni cas
74;Poletni cas
74;Zimski cas
74;Slabo vreme
75;Poletni cas
75;Zimski cas
75;Slabo vreme
76;Poletni cas
76;Zimski cas
76;Slabo vreme
77;Poletni cas
77;Zimski cas
78;Poletni cas
78;Zimski cas
79;Zimski cas
79;Poletni cas
80;Poletni cas
80;Zimski cas
81;Poletni cas
81;Zimski cas
81;Slabo vreme
82;Slabo vreme
82;Poletni cas
82;Zimski cas
83;Poletni cas
83;Zimski cas
83;Slabo vreme
84;Poletni cas
85;Poletni cas
85;Zimski cas
85;Slabo vreme
86;Zimski cas
86;Poletni cas
86;Slabo vreme
87;Poletni cas
87;Zimski cas
88;Zimski cas
88;Poletni cas
88;Slabo vreme
89;Poletni cas
90;Poletni cas
90;Zimski cas
90;Slabo vreme
91;Poletni cas
91;Zimski cas
91;Slabo vreme
92;Poletni cas
93;Poletni cas
93;Zimski cas
93;Slabo vreme
94;Poletni cas
95;Poletni cas
95;Zimski cas
95;Slabo vreme
96;Slabo vreme
96;Zimski cas
96;Poletni cas
97;Poletni cas
98;Poletni cas
98;Zimski cas
98;Slabo vreme
99;Slabo vreme
99;Poletni cas
99;Zimski cas
100;Slabo vreme
100;Zimski cas
100;Poletni cas
101;Poletni cas
101;Zimski cas
101;Slabo vreme
102;Poletni cas
102;Zimski cas
103;Poletni cas
103;Zimski cas
104;Poletni cas
104;Zimski cas
104;Slabo vreme
105;Poletni cas
105;Zimski cas
105;Slabo vreme
106;Zimski cas
106;Poletni cas
106;Slabo vreme
108;Poletni cas
108;Zimski cas
109;Poletni cas
110;Poletni cas
110;Zimski cas
111;Poletni cas
111;Zimski cas
112;Zimski cas
112;Poletni cas
112;Slabo vreme
113;Poletni cas
113;Zimski cas
114;Poletni cas
114;Zimski cas
114;Slabo vreme
115;Poletni cas
116;Poletni cas
116;Zimski cas
116;Slabo vreme
117;Poletni cas
117;Zimski cas
117;Slabo vreme
118;Poletni cas
118;Slabo vreme
119;Poletni cas
