lokacija;naziv;;;;;;;
1;Ogled znamenitosti;;;;;;;
1;Izobraževanje;;;;;;;
2;Ogled znamenitosti;;;;;;;
3;Sprostitev;;;;;;;
3;Zabava ;;;;;;;
3;Ogled znamenitosti;;;;;;;
4;Ogled znamenitosti;;;;;;;
5;Sprostitev;;;;;;;
5;Zabava ;;;;;;;
6;Ogled znamenitosti;;;;;;;
6;Izobraževanje;;;;;;;
7;Sprostitev;;;;;;;
7;Zabava ;;;;;;;
8;Sprostitev;;;;;;;
8;Zabava ;;;;;;;
8;Oddih v naravi;;;;;;;
8;Izobraževanje;;;;;;;
9;Sprostitev;;;;;;;
10;Oddih v naravi;;;;;;;
11;Zabava ;;;;;;;
11;Sprostitev;;;;;;;
12;Sprostitev;;;;;;;
12;Zabava ;;;;;;;
13;Zabava ;;;;;;;
13;Oddih v naravi;;;;;;;
14;Pohodništvo;;;;;;;
14;Oddih v naravi;;;;;;;
15;Izobraževanje;;;;;;;
15;Ogled znamenitosti;;;;;;;
16;Sprostitev;;;;;;;
16;Rekreacija;;;;;;;
16;Pohodništvo;;;;;;;
16;Oddih v naravi;;;;;;;
17;Oddih v naravi;;;;;;;
17;Sprostitev;;;;;;;
18;Oddih v naravi;;;;;;;
18;Sprostitev;;;;;;;
18;Izobraževanje;;;;;;;
19;Sprostitev;;;;;;;
19;Zabava ;;;;;;;
19;Rekreacija;;;;;;;
20;Ogled znamenitosti;;;;;;;
20;Izobraževanje;;;;;;;
21;Izobraževanje;;;;;;;
21;Ogled znamenitosti;;;;;;;
22;Ogled znamenitosti;;;;;;;
22;Izobraževanje;;;;;;;
23;Rekreacija;;;;;;;
23;Oddih v naravi;;;;;;;
23;Pohodništvo;;;;;;;
24;Sprostitev;;;;;;;
24;Zabava ;;;;;;;
25;Zabava ;;;;;;;
25;Izobraževanje;;;;;;;
26;Izobraževanje;;;;;;;
26;Ogled znamenitosti;;;;;;;
27;Zabava ;;;;;;;
27;Rekreacija;;;;;;;
27;Sprostitev;;;;;;;
28;Izobraževanje;;;;;;;
29;Sprostitev;;;;;;;
30;Sprostitev;;;;;;;
30;Zabava ;;;;;;;
31;Izobraževanje;;;;;;;
31;Ogled znamenitosti;;;;;;;
32;Izobraževanje;;;;;;;
32;Ogled znamenitosti;;;;;;;
33;Izobraževanje;;;;;;;
33;Sprostitev;;;;;;;
33;Zabava ;;;;;;;
34;Izobraževanje;;;;;;;
34;Ogled znamenitosti;;;;;;;
35;Zabava ;;;;;;;
35;Izobraževanje;;;;;;;
36;Zabava ;;;;;;;
36;Sprostitev;;;;;;;
37;Ogled znamenitosti;;;;;;;
37;Izobraževanje;;;;;;;
38;Zabava ;;;;;;;
38;Rekreacija;;;;;;;
39;Sprostitev;;;;;;;
40;Izobraževanje;;;;;;;
40;Ogled znamenitosti;;;;;;;
41;Izobraževanje;;;;;;;
41;Ogled znamenitosti;;;;;;;
42;Zabava ;;;;;;;
42;Izobraževanje;;;;;;;
43;Izobraževanje;;;;;;;
43;Zabava ;;;;;;;
44;Oddih v naravi;;;;;;;
44;Pohodništvo;;;;;;;
44;Rekreacija;;;;;;;
45;Rekreacija;;;;;;;
45;Oddih v naravi;;;;;;;
46;Oddih v naravi;;;;;;;
46;Rekreacija;;;;;;;
46;Pohodništvo;;;;;;;
47;Ogled znamenitosti;;;;;;;
47;Izobraževanje;;;;;;;
48;Ogled znamenitosti;;;;;;;
48;Izobraževanje;;;;;;;
49;Oddih v naravi;;;;;;;
49;Rekreacija;;;;;;;
50;Rekreacija;;;;;;;
50;Oddih v naravi;;;;;;;
51;Oddih v naravi;;;;;;;
51;Rekreacija;;;;;;;
