lokacija;tip
1;Poletni èas
1;Zimski èas
1;Slabo vreme
2;Poletni èas
2;Zimski èas
2;Slabo vreme
3;Poletni èas
3;Zimski èas
3;Slabo vreme
4;Poletni èas
5;Poletni èas
5;Zimski èas
5;Slabo vreme
6;Poletni èas
7;Poletni èas
7;Zimski èas
8;Poletni èas
9;Poletni èas
9;Zimski èas
9;Slabo vreme
10;Poletni èas
11;Poletni èas
12;Poletni èas
13;Poletni èas
13;Zimski èas
14;Poletni èas
14;Zimski èas
15;Poletni èas
15;Zimski èas
15;Slabo vreme
16;Poletni èas
16;Zimski èas
16;Slabo vreme
17;Poletni èas
17;Zimski èas
18;Poletni èas
18;Zimski èas
19;Poletni èas
20;Poletni èas
20;Zimski èas
20;Slabo vreme
21;Slabo vreme
21;Poletni èas
21;Zimski èas
22;Slabo vreme
22;Zimski èas
22;Poletni èas
23;Poletni èas
23;Zimski èas
24;Poletni èas
25;Poletni èas
25;Zimski èas
25;Slabo vreme
26;Poletni èas
26;Zimski èas
26;Slabo vreme
27;Poletni èas
28;Poletni èas
29;Poletni èas
29;Zimski èas
29;Slabo vreme
30;Poletni èas
31;Poletni èas
31;Slabo vreme
31;Zimski èas
32;Poletni èas
32;Zimski èas
32;Slabo vreme
33;Poletni èas
34;Poletni èas
34;Zimski èas
35;Poletni èas
36;Poletni èas
37;Poletni èas
37;Zimski èas
37;Slabo vreme
38;Poletni èas
39;Poletni èas
39;Zimski èas
39;Slabo vreme
40;Poletni èas
40;Zimski èas
40;Slabo vreme
41;Poletni èas
42;Poletni èas
43;Poletni èas
43;Zimski èas
44;Poletni èas
45;Poletni èas
46;Poletni èas
46;Zimski èas
47;Poletni èas
47;Zimski èas
47;Slabo vreme
48;Poletni èas
48;Zimski èas
48;Slabo vreme
49;Poletni èas
50;Poletni èas
50;Zimski èas
51;Poletni èas
52;Poletni èas
52;Zimski èas
53;Poletni èas
53;Zimski èas
53;Slabo vreme
54;Poletni èas
54;Zimski èas
55;Poletni èas
55;Zimski èas
56;Poletni èas
56;Zimski èas
57;Poletni èas
57;Zimski èas
61;Poletni èas
61;Zimski èas
60;Poletni èas
60;Zimski èas
59;Poletni èas
59;Zimski èas
62;Poletni èas
62;Zimski èas
63;Poletni èas
64;Poletni èas
64;Zimski èas
64;Slabo vreme
65;Poletni èas
66;Poletni èas
67;Poletni èas
68;Poletni èas
68;Zimski èas
68;Slabo vreme
69;Poletni èas
69;Zimski èas
70;Poletni èas
70;Zimski èas
70;Slabo vreme
71;Poletni èas
71;Zimski èas
71;Slabo vreme
72;Zimski èas
72;Slabo vreme
73;Zimski èas
73;Poletni èas
74;Poletni èas
74;Zimski èas
74;Slabo vreme
75;Poletni èas
75;Zimski èas
75;Slabo vreme
76;Poletni èas
76;Zimski èas
76;Slabo vreme
77;Poletni èas
77;Zimski èas
78;Poletni èas
78;Zimski èas
79;Zimski èas
79;Poletni èas
80;Poletni èas
80;Zimski èas
81;Poletni èas
81;Zimski èas
81;Slabo vreme
82;Slabo vreme
82;Poletni èas
82;Zimski èas
83;Poletni èas
83;Zimski èas
83;Slabo vreme
84;Poletni èas
85;Poletni èas
85;Zimski èas
85;Slabo vreme
86;Zimski èas
86;Poletni èas
86;Slabo vreme
87;Poletni èas
87;Zimski èas
88;Zimski èas
88;Poletni èas
88;Slabo vreme
89;Poletni èas
90;Poletni èas
90;Zimski èas
90;Slabo vreme
91;Poletni èas
91;Zimski èas
91;Slabo vreme
92;Poletni èas
93;Poletni èas
93;Zimski èas
93;Slabo vreme
94;Poletni èas
95;Poletni èas
95;Zimski èas
95;Slabo vreme
96;Slabo vreme
96;Zimski èas
96;Poletni èas
97;Poletni èas
98;Poletni èas
98;Zimski èas
98;Slabo vreme
99;Slabo vreme
99;Poletni èas
99;Zimski èas
100;Slabo vreme
100;Zimski èas
100;Poletni èas
101;Poletni èas
101;Zimski èas
101;Slabo vreme
102;Poletni èas
102;Zimski èas
103;Poletni èas
103;Zimski èas
104;Poletni èas
104;Zimski èas
104;Slabo vreme
105;Poletni èas
105;Zimski èas
105;Slabo vreme
106;Zimski èas
106;Poletni èas
106;Slabo vreme
108;Poletni èas
108;Zimski èas
109;Poletni èas
110;Poletni èas
110;Zimski èas
111;Poletni èas
111;Zimski èas
112;Zimski èas
112;Poletni èas
112;Slabo vreme
113;Poletni èas
113;Zimski èas
114;Poletni èas
114;Zimski èas
114;Slabo vreme
115;Poletni èas
116;Poletni èas
116;Zimski èas
116;Slabo vreme
117;Poletni èas
117;Zimski èas
117;Slabo vreme
118;Poletni èas
118;Slabo vreme
119;Poletni èas
